District,Literacy_Rate,Urbanization_Rate,Electricity_Access,Safe_Water_Access,Per_Capita_Income,Unemployment_Rate,Healthcare_Facilities_Per_Lakh,Road_Density,Education_Score,Health_Score,Infrastructure_Score,Literacy_Rate_norm,Urbanization_Rate_norm,Electricity_Access_norm,Safe_Water_Access_norm,Per_Capita_Income_norm,Healthcare_Facilities_Per_Lakh_norm,Road_Density_norm,Education_Score_norm,Health_Score_norm,Infrastructure_Score_norm,Unemployment_Rate_norm,Economic_Score,SEDI,Deprivation_Category,SEDI_Rank
Gadag,72.5,26.5,89.8,79.5,94500,4.0,19.5,1.28,0.4727134146341464,0.2515037593984962,0.25333432061672245,0.5625000000000001,0.14939434724091522,0.4562499999999998,0.40485829959514164,0.061389337641357025,0.17142857142857143,0.1762114537444934,0.38292682926829275,0.3315789473684209,0.23148148148148145,0.6458333333333333,0.35361133548734514,33.789608633862,High Deprivation,22
Hassan,76.3,19.8,94.2,87.5,115000,2.7,24.5,1.58,0.6097097030752916,0.4281954887218044,0.36903855993899226,0.6657608695652174,0.05921938088829072,0.7312500000000002,0.7287449392712549,0.12762520193861066,0.3142857142857143,0.30837004405286345,0.5536585365853659,0.5421052631578945,0.3773148148148147,0.9166666666666666,0.5221459343026387,48.69699437887235,Low Deprivation,10
Haveri,72.8,24.2,90.2,80.8,98000,3.7,21.2,1.32,0.504838282078473,0.30210526315789465,0.26608867355721444,0.5706521739130436,0.11843876177658141,0.4812500000000002,0.45748987854250994,0.07269789983844911,0.21999999999999997,0.19383259911894277,0.43902439024390244,0.38421052631578934,0.27083333333333337,0.7083333333333333,0.3905156165858912,37.03074765162682,Medium Deprivation,19
Kalaburagi,64.5,35.8,86.5,74.2,89500,5.5,17.5,1.22,0.29450556733828215,0.16240601503759397,0.21661798735772192,0.345108695652174,0.27456258411843876,0.25,0.1902834008097167,0.045234248788368334,0.11428571428571428,0.14977973568281938,0.24390243902439024,0.21052631578947367,0.19212962962962954,0.33333333333333326,0.1892837910608508,21.704722899977508,High Deprivation,27
Kodagu,82.5,15.8,95.8,90.5,145000,2.3,32.5,1.88,0.7622415164369035,0.6306390977443608,0.44081833138827453,0.8342391304347827,0.0053835800807537065,0.8312499999999998,0.8502024291497975,0.2245557350565428,0.5428571428571428,0.4405286343612334,0.6902439024390243,0.7184210526315788,0.4861111111111111,1.0,0.6122778675282714,61.057614176364815,Low Deprivation,6
Kolar,71.5,21.5,91.5,83.2,108000,3.4,22.8,1.45,0.4993703605514317,0.35127819548872175,0.3049437479728678,0.5353260869565218,0.08209959623149395,0.5625,0.5546558704453441,0.1050080775444265,0.26571428571428574,0.25110132158590304,0.4634146341463415,0.43684210526315775,0.32407407407407407,0.7708333333333333,0.4379207054388799,40.27103778604832,Medium Deprivation,15
Koppal,68.2,23.8,87.8,76.5,86500,4.5,16.2,1.12,0.369167550371156,0.1701503759398496,0.17396634681896422,0.4456521739130437,0.11305518169582773,0.3312499999999998,0.28340080971659914,0.035541195476575124,0.07714285714285712,0.10572687224669608,0.2926829268292683,0.2631578947368421,0.14583333333333326,0.5416666666666666,0.28860393107162086,25.639472880698623,High Deprivation,25
Mandya,70.8,18.8,92.2,85.8,105000,3.8,23.5,1.52,0.49839607635206795,0.38364661654135335,0.31855663361384345,0.516304347826087,0.045760430686406464,0.6062500000000002,0.6599190283400808,0.09531502423263329,0.2857142857142857,0.28193832599118945,0.4804878048780489,0.481578947368421,0.34027777777777785,0.6875,0.39140751211631664,39.83897544346435,Medium Deprivation,16
Mysuru,84.2,44.5,96.5,91.2,148000,2.6,36.8,2.15,0.8548515376458113,0.7578571428571428,0.6318789263506218,0.8804347826086959,0.3916554508748318,0.875,0.8785425101214575,0.23424878836833601,0.6657142857142856,0.5594713656387665,0.8292682926829268,0.85,0.7013888888888887,0.9375,0.585874394184168,69.90163628257872,Low Deprivation,3
Raichur,59.5,28.5,84.5,71.8,82500,6.2,15.2,1.05,0.1741317603393426,0.08086466165413529,0.11546256590856041,0.2092391304347827,0.17631224764468373,0.125,0.09311740890688247,0.022617124394184167,0.04857142857142855,0.0748898678414097,0.1390243902439025,0.11315789473684203,0.08564814814814821,0.1874999999999999,0.10505856219709203,12.008908255193044,High Deprivation,30
Ramanagara,69.5,17.2,91.8,84.2,98500,3.9,21.5,1.48,0.4441476670201486,0.31165413533834585,0.2926798042265144,0.48097826086956535,0.024226110363391642,0.5812499999999998,0.5951417004048584,0.07431340872374798,0.22857142857142856,0.2643171806167401,0.4073170731707318,0.39473684210526316,0.30092592592592593,0.6666666666666666,0.3704900376952073,35.76847061878971,Medium Deprivation,21
Shivamogga,77.5,28.5,94.5,88.2,122000,2.8,27.5,1.72,0.6455262460233299,0.4934210526315789,0.43577888994184477,0.6983695652173915,0.17631224764468373,0.75,0.757085020242915,0.15024232633279483,0.4,0.3700440528634361,0.5926829268292683,0.5868421052631578,0.4467592592592592,0.8958333333333334,0.5230378298330641,52.592184346752866,Low Deprivation,9
Tumakuru,75.2,22.8,93.8,86.5,118000,3.1,25.8,1.68,0.5898860021208908,0.4388721804511278,0.38968302548647327,0.6358695652173915,0.09959623149394348,0.7062499999999998,0.6882591093117408,0.13731825525040386,0.3514285714285714,0.35242290748898675,0.5439024390243902,0.5263157894736842,0.40046296296296285,0.8333333333333333,0.48532579429186856,47.82644312796271,Medium Deprivation,12
Udupi,86.2,38.5,96.8,91.8,152000,2.4,34.5,2.08,0.8698303287380702,0.7157894736842104,0.5994094906872145,0.9347826086956524,0.3109017496635263,0.8937499999999998,0.9028340080971657,0.24717285945072698,0.6,0.5286343612334803,0.8048780487804879,0.8315789473684209,0.6643518518518519,0.9791666666666666,0.6131697630586967,69.44187785107724,Low Deprivation,4
Uttara Kannada,84.5,25.8,95.2,89.5,135000,2.6,30.5,1.78,0.7979520148462355,0.5928571428571427,0.4656515651080285,0.8885869565217392,0.13997308209959625,0.7937500000000002,0.8097165991902833,0.19224555735056542,0.4857142857142857,0.39647577092511016,0.7073170731707317,0.6999999999999998,0.5324074074074073,0.9375,0.5648727786752827,60.393415716257934,Low Deprivation,7
Vijayapura,65.8,24.5,86.8,75.2,85500,5.8,16.8,1.18,0.3280222693531283,0.1695112781954887,0.17309162965674948,0.3804347826086957,0.1224764468371467,0.2687499999999998,0.23076923076923087,0.03231017770597738,0.0942857142857143,0.13215859030837002,0.2756097560975609,0.24473684210526309,0.1689814814814814,0.27083333333333326,0.15157175551965532,20.465225704746377,High Deprivation,28
Yadgir,51.8,19.5,82.5,69.5,75500,7.1,13.5,0.88,0.0,0.0,0.013795423956931358,0.0,0.05518169582772543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34488559892328396,High Deprivation,31
Vijayanagara,66.5,22.8,88.5,77.2,91000,4.8,17.8,1.2,0.35460630965005313,0.2101127819548872,0.2059746819557179,0.39945652173913054,0.09959623149394348,0.375,0.31174089068825916,0.050080775444264945,0.12285714285714287,0.1409691629955947,0.30975609756097566,0.2973684210526315,0.20833333333333331,0.47916666666666663,0.2646237210554658,26.155492060905992,High Deprivation,24
