District,Literacy_Rate,Urbanization_Rate,Electricity_Access,Safe_Water_Access,Per_Capita_Income,Unemployment_Rate,Healthcare_Facilities_Per_Lakh,Road_Density,Education_Score,Health_Score,Infrastructure_Score,Literacy_Rate_norm,Urbanization_Rate_norm,Electricity_Access_norm,Safe_Water_Access_norm,Per_Capita_Income_norm,Healthcare_Facilities_Per_Lakh_norm,Road_Density_norm,Education_Score_norm,Health_Score_norm,Infrastructure_Score_norm,Unemployment_Rate_norm,Economic_Score,SEDI,Deprivation_Category,SEDI_Rank,Latitude,Longitude,Spatial_Lag
Dakshina Kannada,88.6,48.5,97.2,92.5,165000,2.5,38.5,2.25,0.9390243902439024,0.818984962406015,0.6829135924115369,1.0,0.4454912516823688,0.9187500000000002,0.9311740890688258,0.2891760904684975,0.7142857142857143,0.6035242290748899,0.8780487804878049,0.9236842105263156,0.7638888888888888,0.9583333333333331,0.6237547119009155,75.64079017153375,Low Deprivation,2,12.8438,74.841,55.97801733440479
Davanagere,75.3,33.2,92.8,85.3,112000,3.3,26.8,1.65,0.5790495758218451,0.4439473684210526,0.4080621460684779,0.6385869565217391,0.2395693135935397,0.6437499999999998,0.6396761133603237,0.1179321486268174,0.38,0.3392070484581497,0.5195121951219511,0.5078947368421052,0.4097222222222222,0.7916666666666666,0.454799407646742,47.20072264508139,Medium Deprivation,13,14.4644,75.9218,37.11600508515734
Dharwad,80.8,56.8,95.5,89.8,158000,2.9,35.2,2.05,0.7598753976670202,0.6863157894736842,0.6275297601401628,0.7880434782608696,0.5572005383580081,0.8125,0.8218623481781374,0.2665589660743134,0.6200000000000001,0.5154185022026432,0.7317073170731707,0.7526315789473683,0.625,0.875,0.5707794830371566,65.53482922576795,Low Deprivation,5,15.4589,75.0078,40.94764957603584
Gadag,72.5,26.5,89.8,79.5,94500,4.0,19.5,1.28,0.4727134146341464,0.2515037593984962,0.2533343206167224,0.5625000000000001,0.1493943472409152,0.4562499999999998,0.4048582995951416,0.061389337641357,0.1714285714285714,0.1762114537444934,0.3829268292682927,0.3315789473684209,0.2314814814814814,0.6458333333333333,0.3536113354873451,33.789608633862,High Deprivation,22,15.4315,75.6191,37.288699639105545
Hassan,76.3,19.8,94.2,87.5,115000,2.7,24.5,1.58,0.6097097030752916,0.4281954887218044,0.3690385599389922,0.6657608695652174,0.0592193808882907,0.7312500000000002,0.7287449392712549,0.1276252019386106,0.3142857142857143,0.3083700440528634,0.5536585365853659,0.5421052631578945,0.3773148148148147,0.9166666666666666,0.5221459343026387,48.69699437887235,Low Deprivation,10,13.0033,76.1004,53.345216989865456
Haveri,72.8,24.2,90.2,80.8,98000,3.7,21.2,1.32,0.504838282078473,0.3021052631578946,0.2660886735572144,0.5706521739130436,0.1184387617765814,0.4812500000000002,0.4574898785425099,0.0726978998384491,0.2199999999999999,0.1938325991189427,0.4390243902439024,0.3842105263157893,0.2708333333333333,0.7083333333333333,0.3905156165858912,37.03074765162682,Medium Deprivation,19,14.7951,75.4047,51.90215211354443
Kalaburagi,64.5,35.8,86.5,74.2,89500,5.5,17.5,1.22,0.2945055673382821,0.1624060150375939,0.2166179873577219,0.345108695652174,0.2745625841184387,0.25,0.1902834008097167,0.0452342487883683,0.1142857142857142,0.1497797356828193,0.2439024390243902,0.2105263157894736,0.1921296296296295,0.3333333333333332,0.1892837910608508,21.704722899977508,High Deprivation,27,17.3297,76.8343,17.874493824577897
Kodagu,82.5,15.8,95.8,90.5,145000,2.3,32.5,1.88,0.7622415164369035,0.6306390977443608,0.4408183313882745,0.8342391304347827,0.0053835800807537,0.8312499999999998,0.8502024291497975,0.2245557350565428,0.5428571428571428,0.4405286343612334,0.6902439024390243,0.7184210526315788,0.4861111111111111,1.0,0.6122778675282714,61.057614176364815,Low Deprivation,6,12.4244,75.7382,56.435962439081166
Kolar,71.5,21.5,91.5,83.2,108000,3.4,22.8,1.45,0.4993703605514317,0.3512781954887217,0.3049437479728678,0.5353260869565218,0.0820995962314939,0.5625,0.5546558704453441,0.1050080775444265,0.2657142857142857,0.251101321585903,0.4634146341463415,0.4368421052631577,0.324074074074074,0.7708333333333333,0.4379207054388799,40.27103778604832,Medium Deprivation,15,13.1358,78.1298,54.30267066097335
Koppal,68.2,23.8,87.8,76.5,86500,4.5,16.2,1.12,0.369167550371156,0.1701503759398496,0.1739663468189642,0.4456521739130437,0.1130551816958277,0.3312499999999998,0.2834008097165991,0.0355411954765751,0.0771428571428571,0.105726872246696,0.2926829268292683,0.2631578947368421,0.1458333333333332,0.5416666666666666,0.2886039310716208,25.639472880698623,High Deprivation,25,15.3505,76.1544,36.31048043920409
Mandya,70.8,18.8,92.2,85.8,105000,3.8,23.5,1.52,0.4983960763520679,0.3836466165413533,0.3185566336138434,0.516304347826087,0.0457604306864064,0.6062500000000002,0.6599190283400808,0.0953150242326332,0.2857142857142857,0.2819383259911894,0.4804878048780489,0.481578947368421,0.3402777777777778,0.6875,0.3914075121163166,39.83897544346435,Medium Deprivation,16,12.5244,76.8951,54.2333853755371
Mysuru,84.2,44.5,96.5,91.2,148000,2.6,36.8,2.15,0.8548515376458113,0.7578571428571428,0.6318789263506218,0.8804347826086959,0.3916554508748318,0.875,0.8785425101214575,0.234248788368336,0.6657142857142856,0.5594713656387665,0.8292682926829268,0.85,0.7013888888888887,0.9375,0.585874394184168,69.90163628257872,Low Deprivation,3,12.2958,76.6394,40.357086078826384
Raichur,59.5,28.5,84.5,71.8,82500,6.2,15.2,1.05,0.1741317603393426,0.0808646616541352,0.1154625659085604,0.2092391304347827,0.1763122476446837,0.125,0.0931174089068824,0.0226171243941841,0.0485714285714285,0.0748898678414097,0.1390243902439025,0.113157894736842,0.0856481481481482,0.1874999999999999,0.105058562197092,12.008908255193044,High Deprivation,30,16.212,77.3439,22.244080929009932
Ramanagara,69.5,17.2,91.8,84.2,98500,3.9,21.5,1.48,0.4441476670201486,0.3116541353383458,0.2926798042265144,0.4809782608695653,0.0242261103633916,0.5812499999999998,0.5951417004048584,0.0743134087237479,0.2285714285714285,0.2643171806167401,0.4073170731707318,0.3947368421052631,0.3009259259259259,0.6666666666666666,0.3704900376952073,35.76847061878971,Medium Deprivation,21,12.7171,77.28,61.32809981073643
Shivamogga,77.5,28.5,94.5,88.2,122000,2.8,27.5,1.72,0.6455262460233299,0.4934210526315789,0.4357788899418447,0.6983695652173915,0.1763122476446837,0.75,0.757085020242915,0.1502423263327948,0.4,0.3700440528634361,0.5926829268292683,0.5868421052631578,0.4467592592592592,0.8958333333333334,0.5230378298330641,52.59218434675287,Low Deprivation,9,13.9299,75.5681,47.660555195917695
Tumakuru,75.2,22.8,93.8,86.5,118000,3.1,25.8,1.68,0.5898860021208908,0.4388721804511278,0.3896830254864732,0.6358695652173915,0.0995962314939434,0.7062499999999998,0.6882591093117408,0.1373182552504038,0.3514285714285714,0.3524229074889867,0.5439024390243902,0.5263157894736842,0.4004629629629628,0.8333333333333333,0.4853257942918685,47.82644312796271,Medium Deprivation,12,13.3392,77.1006,52.70517712407368
Udupi,86.2,38.5,96.8,91.8,152000,2.4,34.5,2.08,0.8698303287380702,0.7157894736842104,0.5994094906872145,0.9347826086956524,0.3109017496635263,0.8937499999999998,0.9028340080971656,0.2471728594507269,0.6,0.5286343612334803,0.8048780487804879,0.8315789473684209,0.6643518518518519,0.9791666666666666,0.6131697630586967,69.44187785107724,Low Deprivation,4,13.3409,74.7421,59.557084065973214
Uttara Kannada,84.5,25.8,95.2,89.5,135000,2.6,30.5,1.78,0.7979520148462355,0.5928571428571427,0.4656515651080285,0.8885869565217392,0.1399730820995962,0.7937500000000002,0.8097165991902833,0.1922455573505654,0.4857142857142857,0.3964757709251101,0.7073170731707317,0.6999999999999998,0.5324074074074073,0.9375,0.5648727786752827,60.393415716257934,Low Deprivation,7,14.5203,74.6861,54.36007234406125
Vijayapura,65.8,24.5,86.8,75.2,85500,5.8,16.8,1.18,0.3280222693531283,0.1695112781954887,0.1730916296567494,0.3804347826086957,0.1224764468371467,0.2687499999999998,0.2307692307692308,0.0323101777059773,0.0942857142857143,0.13215859030837,0.2756097560975609,0.244736842105263,0.1689814814814814,0.2708333333333332,0.1515717555196553,20.465225704746377,High Deprivation,28,16.8302,75.71,25.87273860223905
Yadgir,51.8,19.5,82.5,69.5,75500,7.1,13.5,0.88,0.0,0.0,0.0137954239569313,0.0,0.0551816958277254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448855989232839,High Deprivation,31,16.77,77.138,22.14646128478874
Vijayanagara,66.5,22.8,88.5,77.2,91000,4.8,17.8,1.2,0.3546063096500531,0.2101127819548872,0.2059746819557179,0.3994565217391305,0.0995962314939434,0.375,0.3117408906882591,0.0500807754442649,0.1228571428571428,0.1409691629955947,0.3097560975609756,0.2973684210526315,0.2083333333333333,0.4791666666666666,0.2646237210554658,26.155492060905992,High Deprivation,24,15.35,76.57,31.202908723875865
